项目名称,项目编码,建设单位,项目主管部门,立项时间,概算批复金额,预计开工时间,预计完工时间,项目状态
东城区排水管网工程三期,UC20250020,水务建设集团公司,市发展和改革委员会,2023-03-11,6587.12,2023-06-22,2025-01-03,续建
滨海新区隧道建设工程一期,UC20250021,基础设施建设公司,市规划和自然资源局,2024-03-25,1493.28,2024-05-11,2026-09-08,续建
科技园区文化中心建设一期,UC20250022,园林绿化建设集团,市城市管理局,2023-12-24,17899.28,2024-05-13,2027-05-11,续建
新区医院建设工程三期,UC20250023,医疗建设发展公司,市体育局,2023-06-20,14833.68,2023-09-19,2024-04-01,在建
经济技术开发区桥梁建设工程四期,UC20250024,交通建设发展集团,市体育局,2024-05-04,19706.26,2024-06-18,2026-05-05,暂停
高新区排水管网工程四期,UC20250025,市政建设集团有限公司,市城市管理局,2023-01-18,17683.31,2023-07-02,2024-02-18,暂停
高新区停车场建设三期,UC20250026,环保建设投资公司,市城市管理局,2024-06-23,19806.41,2024-10-09,2027-06-27,暂停
南城区供水管网工程四期,UC20250027,城市投资建设集团,市规划和自然资源局,2024-04-15,15862.12,2024-05-31,2027-02-05,暂停
开发区医院建设工程四期,UC20250028,交通建设发展集团,市卫生健康委员会,2024-01-03,1513.85,2024-04-25,2026-02-24,完工
工业园区供水管网工程一期,UC20250029,基础设施建设公司,市城市管理局,2024-01-22,13026.24,2024-05-21,2026-08-23,完工
新区图书馆建设三期,UC20250030,文化建设集团,市住房和城乡建设局,2024-06-17,2777.61,2024-11-21,2027-06-02,续建
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,2023-12-04,16679.2,2024-02-26,2026-10-22,暂停
科技园区桥梁建设工程一期,UC20250032,交通建设发展集团,市体育局,2023-08-06,1904.37,2023-11-02,2026-07-07,完工
中心区学校建设工程四期,UC20250033,基础设施建设公司,市园林绿化局,2024-01-27,7209.01,2024-07-08,2025-01-08,暂停
山区排水管网工程五期,UC20250034,住房建设集团,市城市管理局,2023-11-22,18905.57,2024-01-17,2024-08-25,完工
工业园区图书馆建设四期,UC20250035,文化建设集团,市水利局,2024-02-21,19566.13,2024-07-05,2026-07-04,在建
南城区商业综合体建设三期,UC20250036,水务建设集团公司,市园林绿化局,2023-10-23,15515.9,2023-12-10,2024-12-19,完工
西城区商业综合体建设一期,UC20250037,环保建设投资公司,市交通运输局,2023-02-08,502.58,2023-06-20,2024-03-11,暂停
科技园区隧道建设工程三期,UC20250038,园林绿化建设集团,市生态环境局,2024-04-10,18476.73,2024-09-03,2026-04-14,暂停
开发区公园绿化工程五期,UC20250039,住房建设集团,市规划和自然资源局,2023-04-25,11375.17,2023-08-02,2024-06-27,完工
中心区道路建设工程一期,UC20250040,水务建设集团公司,市教育局,2023-04-10,1376.1,2023-08-28,2025-04-16,完工
北城区博物馆建设一期,UC20250041,市政建设集团有限公司,市教育局,2023-06-06,5614.14,2023-07-11,2025-09-07,续建
北城区商业综合体建设五期,UC20250042,教育建设投资公司,市交通运输局,2024-02-18,19744.93,2024-06-06,2026-11-27,暂停
山区桥梁建设工程二期,UC20250043,城市投资建设集团,市卫生健康委员会,2024-02-25,3687.82,2024-08-09,2025-07-01,续建
高新区道路建设工程一期,UC20250044,水务建设集团公司,市交通运输局,2023-01-30,4605.77,2023-06-08,2026-05-24,完工
科技园区医院建设工程一期,UC20250045,文化建设集团,市生态环境局,2023-03-10,6084.2,2023-06-06,2025-02-04,暂停
南城区公交站台建设四期,UC20250046,环保建设投资公司,市文化和旅游局,2024-05-17,5870.42,2024-07-16,2025-12-07,在建
科技园区住宅小区建设三期,UC20250047,水务建设集团公司,市教育局,2024-02-07,10085.51,2024-06-25,2026-12-01,暂停
山区住宅小区建设二期,UC20250048,教育建设投资公司,市园林绿化局,2023-12-31,16282.43,2024-03-04,2024-09-25,续建
山区停车场建设四期,UC20250049,住房建设集团,市交通运输局,2023-02-10,19817.92,2023-05-27,2026-01-27,续建
东城区商业综合体建设三期,UC20250050,环保建设投资公司,市卫生健康委员会,2023-04-29,16191.13,2023-10-18,2026-01-31,在建
开发区广场建设工程三期,UC20250051,环保建设投资公司,市规划和自然资源局,2024-01-07,15130.96,2024-02-11,2026-11-03,暂停
经济技术开发区文化中心建设二期,UC20250052,住房建设集团,市交通运输局,2023-10-28,3674.35,2023-12-28,2024-12-29,暂停
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,2024-02-10,6660.62,2024-03-20,2026-05-11,在建
山区污水处理厂建设四期,UC20250054,基础设施建设公司,市教育局,2023-04-25,3819.6,2023-09-11,2024-08-22,续建
经济技术开发区商业综合体建设一期,UC20250055,水务建设集团公司,市体育局,2024-05-18,11577.32,2024-11-06,2026-02-12,续建
东城区地铁建设工程五期,UC20250056,医疗建设发展公司,市生态环境局,2023-01-06,8423.38,2023-03-06,2025-05-30,完工
南城区学校建设工程五期,UC20250057,教育建设投资公司,市卫生健康委员会,2023-08-05,12854.33,2023-11-06,2024-12-31,完工
工业园区地铁建设工程四期,UC20250058,交通建设发展集团,市文化和旅游局,2024-05-20,9412.2,2024-08-13,2026-09-15,完工
开发区排水管网工程三期,UC20250059,园林绿化建设集团,市规划和自然资源局,2023-06-28,10416.65,2023-12-12,2026-01-02,暂停
西城区图书馆建设四期,UC20250060,市政建设集团有限公司,市水利局,2023-01-11,9782.2,2023-05-19,2025-11-26,完工
开发区商业综合体建设二期,UC20250061,医疗建设发展公司,市体育局,2023-11-11,11827.18,2024-04-28,2025-03-20,完工
工业园区文化中心建设五期,UC20250062,市政建设集团有限公司,市卫生健康委员会,2023-03-11,4909.01,2023-08-07,2026-06-20,暂停
中心区污水处理厂建设五期,UC20250063,教育建设投资公司,市城市管理局,2023-05-08,10237.66,2023-07-17,2024-04-25,续建
开发区广场建设工程五期,UC20250064,医疗建设发展公司,市规划和自然资源局,2024-05-09,8411.23,2024-09-12,2025-08-10,暂停
科技园区道路建设工程一期,UC20250065,医疗建设发展公司,市规划和自然资源局,2024-06-09,1011.49,2024-08-31,2027-04-20,暂停
新区桥梁建设工程四期,UC20250066,环保建设投资公司,市生态环境局,2023-08-17,9379.49,2023-11-17,2026-10-16,完工
科技园区商业综合体建设四期,UC20250067,基础设施建设公司,市交通运输局,2024-03-17,3362.63,2024-07-28,2026-11-12,暂停
新区商业综合体建设三期,UC20250068,教育建设投资公司,市教育局,2023-02-06,15761.66,2023-06-01,2025-08-25,暂停
山区排水管网工程五期,UC20250069,园林绿化建设集团,市卫生健康委员会,2024-06-05,15997.2,2024-09-08,2026-12-24,续建
西城区图书馆建设二期,UC20250070,公共设施建设集团,市发展和改革委员会,2023-02-12,4527.63,2023-06-11,2026-05-25,续建
东城区供水管网工程五期,UC20250071,住房建设集团,市交通运输局,2023-01-17,2449.48,2023-04-04,2024-06-08,续建
科技园区桥梁建设工程一期,UC20250072,公共设施建设集团,市生态环境局,2023-04-04,3031.25,2023-09-06,2025-12-28,续建
北城区住宅小区建设四期,UC20250073,公共设施建设集团,市规划和自然资源局,2023-04-13,15447.51,2023-07-16,2025-04-26,续建
开发区住宅小区建设一期,UC20250074,园林绿化建设集团,市园林绿化局,2024-04-29,6621.25,2024-08-20,2026-12-09,续建
科技园区公园绿化工程四期,UC20250075,住房建设集团,市城市管理局,2023-12-07,10804.52,2024-06-02,2025-02-06,在建
经济技术开发区广场建设工程二期,UC20250076,住房建设集团,市体育局,2023-05-01,19718.38,2023-10-27,2025-05-22,续建
山区公园绿化工程五期,UC20250077,园林绿化建设集团,市交通运输局,2023-01-31,9711.83,2023-03-11,2024-11-14,暂停
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,2023-09-14,13320.36,2024-01-11,2026-05-26,续建
中心区隧道建设工程一期,UC20250079,交通建设发展集团,市卫生健康委员会,2023-07-18,14986.31,2023-09-01,2026-03-15,在建
生态城区道路建设工程四期,UC20250080,文化建设集团,市生态环境局,2023-06-18,3140.76,2023-10-19,2025-07-12,续建
经济技术开发区停车场建设四期,UC20250081,公共设施建设集团,市城市管理局,2023-08-17,11579.71,2023-10-25,2024-12-28,在建
山区博物馆建设三期,UC20250082,医疗建设发展公司,市水利局,2023-04-03,9010.59,2023-05-10,2025-01-11,完工
滨海新区供水管网工程一期,UC20250083,交通建设发展集团,市生态环境局,2023-02-03,18496.91,2023-04-19,2025-09-21,在建
新区停车场建设五期,UC20250084,基础设施建设公司,市规划和自然资源局,2023-04-27,12808.92,2023-09-21,2026-04-04,暂停
西城区隧道建设工程二期,UC20250085,环保建设投资公司,市水利局,2023-11-30,16589.72,2024-03-20,2026-07-26,暂停
滨海新区污水处理厂建设五期,UC20250086,文化建设集团,市卫生健康委员会,2024-02-01,12672.36,2024-03-23,2026-07-25,续建
北城区污水处理厂建设五期,UC20250087,医疗建设发展公司,市发展和改革委员会,2024-06-10,2611.61,2024-10-07,2025-10-10,完工
东城区学校建设工程四期,UC20250088,水务建设集团公司,市规划和自然资源局,2023-04-14,9824.61,2023-07-28,2025-09-03,完工
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,2024-01-22,17662.58,2024-06-28,2026-01-09,完工
山区停车场建设一期,UC20250090,城市投资建设集团,市城市管理局,2024-06-11,2258.13,2024-07-31,2026-09-14,暂停
工业园区道路建设工程四期,UC20250091,公共设施建设集团,市园林绿化局,2024-01-13,3587.95,2024-04-19,2025-03-10,续建
北城区博物馆建设一期,UC20250092,环保建设投资公司,市城市管理局,2023-04-20,14721.72,2023-06-15,2025-01-12,在建
山区停车场建设二期,UC20250093,教育建设投资公司,市城市管理局,2023-01-17,9672.8,2023-04-15,2024-06-09,暂停
新区广场建设工程五期,UC20250094,住房建设集团,市规划和自然资源局,2024-01-26,9339.82,2024-07-03,2027-05-29,暂停
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,2023-10-10,6305.58,2024-02-15,2025-07-31,续建
工业园区文化中心建设一期,UC20250096,园林绿化建设集团,市规划和自然资源局,2023-07-18,19627.56,2023-10-31,2024-11-24,暂停
高新区垃圾处理中心建设二期,UC20250097,公共设施建设集团,市交通运输局,2023-09-26,15839.46,2024-02-29,2026-07-25,续建
经济技术开发区道路建设工程二期,UC20250098,交通建设发展集团,市园林绿化局,2023-01-25,18768.27,2023-03-23,2025-02-27,在建
新区文化中心建设三期,UC20250099,教育建设投资公司,市生态环境局,2023-03-13,10879.91,2023-05-08,2025-04-16,续建
经济技术开发区隧道建设工程四期,UC20250100,教育建设投资公司,市发展和改革委员会,2023-02-01,5101.01,2023-06-03,2024-11-01,续建
南城区停车场建设二期,UC20250101,教育建设投资公司,市规划和自然资源局,2024-04-13,6826.43,2024-07-04,2027-03-21,完工
西城区图书馆建设二期,UC20250102,环保建设投资公司,市规划和自然资源局,2023-07-01,4169.97,2023-12-10,2025-04-18,在建
工业园区医院建设工程三期,UC20250103,城市投资建设集团,市发展和改革委员会,2024-06-22,18777.54,2024-11-03,2027-01-31,完工
山区供水管网工程四期,UC20250104,环保建设投资公司,市住房和城乡建设局,2023-10-17,13797.14,2024-04-08,2025-11-12,完工
滨海新区桥梁建设工程三期,UC20250105,城市投资建设集团,市体育局,2023-06-04,9406.77,2023-08-06,2024-04-28,在建
工业园区公园绿化工程五期,UC20250106,基础设施建设公司,市发展和改革委员会,2023-07-07,14618.25,2023-09-09,2025-06-02,在建
开发区公园绿化工程三期,UC20250107,市政建设集团有限公司,市发展和改革委员会,2023-04-21,7231.64,2023-08-04,2026-04-16,续建
开发区体育中心建设一期,UC20250108,园林绿化建设集团,市城市管理局,2023-10-31,1473.65,2024-02-26,2026-07-20,续建
东城区住宅小区建设二期,UC20250109,教育建设投资公司,市生态环境局,2023-01-04,19187.36,2023-04-13,2025-01-31,完工
科技园区垃圾处理中心建设一期,UC20250110,水务建设集团公司,市水利局,2024-01-05,7279.23,2024-04-14,2025-07-24,暂停
南城区学校建设工程一期,UC20250111,交通建设发展集团,市规划和自然资源局,2023-05-12,14688.91,2023-10-12,2025-11-13,完工
新区住宅小区建设二期,UC20250112,医疗建设发展公司,市文化和旅游局,2023-04-18,4157.74,2023-06-24,2025-11-24,完工
新区住宅小区建设三期,UC20250113,文化建设集团,市规划和自然资源局,2024-02-07,18586.78,2024-07-24,2027-03-21,在建
科技园区博物馆建设五期,UC20250114,基础设施建设公司,市生态环境局,2023-11-17,15727.74,2024-01-14,2025-09-21,暂停
开发区排水管网工程五期,UC20250115,住房建设集团,市生态环境局,2023-07-13,4923.67,2023-10-08,2025-12-26,续建
西城区广场建设工程二期,UC20250116,教育建设投资公司,市交通运输局,2023-05-18,10935.63,2023-10-22,2024-08-28,在建
经济技术开发区排水管网工程五期,UC20250117,公共设施建设集团,市城市管理局,2024-05-07,1330.59,2024-06-19,2024-12-19,续建
开发区学校建设工程四期,UC20250118,水务建设集团公司,市体育局,2023-04-08,8515.16,2023-07-13,2024-10-18,完工
科技园区停车场建设三期,UC20250119,交通建设发展集团,市生态环境局,2023-07-14,6372.98,2023-10-26,2026-06-10,在建
生态城区公交站台建设三期,UC20250120,城市投资建设集团,市生态环境局,2023-08-02,641.27,2023-11-09,2024-09-12,完工
经济技术开发区博物馆建设四期,UC20250121,交通建设发展集团,市住房和城乡建设局,2023-01-04,17087.64,2023-05-31,2024-05-31,暂停
新区排水管网工程一期,UC20250122,基础设施建设公司,市城市管理局,2023-07-09,1645.86,2023-10-13,2025-12-14,暂停
开发区公交站台建设五期,UC20250123,医疗建设发展公司,市水利局,2024-05-19,12350.63,2024-06-24,2027-04-13,续建
高新区住宅小区建设一期,UC20250124,医疗建设发展公司,市体育局,2023-02-14,7647.73,2023-04-19,2024-10-29,续建
开发区图书馆建设三期,UC20250125,教育建设投资公司,市园林绿化局,2023-08-08,2870.19,2023-11-25,2024-06-02,续建
滨海新区商业综合体建设五期,UC20250126,住房建设集团,市规划和自然资源局,2023-09-06,15856.66,2024-01-17,2025-01-28,完工
生态城区学校建设工程一期,UC20250127,园林绿化建设集团,市教育局,2023-06-04,5903.98,2023-07-29,2024-02-19,完工
新区商业综合体建设二期,UC20250128,水务建设集团公司,市规划和自然资源局,2023-03-27,18647.72,2023-07-09,2026-05-23,续建
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2023-07-08,2750.84,2023-10-02,2025-01-29,完工
生态城区停车场建设五期,UC20250130,园林绿化建设集团,市教育局,2023-04-13,15361.45,2023-06-27,2025-06-20,完工
东城区供水管网工程五期,UC20250131,市政建设集团有限公司,市交通运输局,2023-04-17,1223.31,2023-10-11,2026-05-30,完工
西城区垃圾处理中心建设四期,UC20250132,园林绿化建设集团,市卫生健康委员会,2023-01-08,1685.52,2023-05-24,2025-02-08,在建
滨海新区文化中心建设五期,UC20250133,公共设施建设集团,市交通运输局,2023-04-08,10244.62,2023-08-07,2026-07-30,完工
生态城区学校建设工程三期,UC20250134,文化建设集团,市文化和旅游局,2024-05-19,17959.8,2024-07-02,2026-07-13,在建
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,2023-02-03,7656.32,2023-07-17,2026-01-15,在建
新区排水管网工程五期,UC20250136,基础设施建设公司,市规划和自然资源局,2023-08-30,2318.74,2023-11-08,2026-01-16,续建
开发区学校建设工程一期,UC20250137,园林绿化建设集团,市文化和旅游局,2024-01-11,14850.1,2024-05-28,2027-03-26,暂停
新区桥梁建设工程三期,UC20250138,教育建设投资公司,市城市管理局,2023-03-13,16224.31,2023-07-26,2026-04-24,续建
滨海新区排水管网工程一期,UC20250139,城市投资建设集团,市文化和旅游局,2023-10-15,1824.32,2023-12-23,2026-09-14,暂停
滨海新区商业综合体建设三期,UC20250140,住房建设集团,市生态环境局,2023-03-07,15413.4,2023-08-18,2024-11-20,续建
北城区供水管网工程五期,UC20250141,公共设施建设集团,市城市管理局,2023-02-10,1740.98,2023-04-22,2025-05-24,在建
经济技术开发区医院建设工程五期,UC20250142,园林绿化建设集团,市住房和城乡建设局,2023-07-15,2574.42,2023-11-14,2026-03-06,在建
科技园区图书馆建设二期,UC20250143,公共设施建设集团,市文化和旅游局,2023-11-23,2076.68,2024-04-15,2026-10-21,完工
南城区排水管网工程四期,UC20250144,医疗建设发展公司,市水利局,2024-04-03,4515.07,2024-06-21,2026-11-01,续建
北城区供水管网工程四期,UC20250145,公共设施建设集团,市生态环境局,2024-04-30,9104.05,2024-10-13,2027-05-29,暂停
高新区住宅小区建设三期,UC20250146,城市投资建设集团,市生态环境局,2024-06-23,3426.51,2024-09-14,2026-07-25,在建
南城区停车场建设一期,UC20250147,基础设施建设公司,市规划和自然资源局,2023-07-17,12450.51,2023-12-26,2024-11-02,暂停
科技园区公园绿化工程一期,UC20250148,文化建设集团,市生态环境局,2023-08-21,4114.42,2023-09-22,2026-01-23,在建
生态城区广场建设工程五期,UC20250149,住房建设集团,市体育局,2023-07-02,5797.62,2023-10-19,2024-11-12,完工
科技园区商业综合体建设二期,UC20250150,环保建设投资公司,市水利局,2023-06-01,11194.94,2023-09-26,2025-12-26,续建
北城区排水管网工程五期,UC20250151,交通建设发展集团,市体育局,2023-10-27,6752.8,2024-03-02,2026-08-02,在建
山区停车场建设三期,UC20250152,环保建设投资公司,市体育局,2023-03-10,6751.53,2023-07-02,2026-05-14,暂停
新区公园绿化工程一期,UC20250153,基础设施建设公司,市交通运输局,2024-01-20,6219.38,2024-05-07,2025-05-16,完工
西城区桥梁建设工程一期,UC20250154,文化建设集团,市文化和旅游局,2023-07-15,9844.53,2023-11-03,2025-06-18,完工
经济技术开发区商业综合体建设二期,UC20250155,环保建设投资公司,市水利局,2023-08-20,11052.38,2023-12-06,2024-11-20,在建
生态城区公交站台建设一期,UC20250156,城市投资建设集团,市卫生健康委员会,2024-05-22,19120.9,2024-09-05,2025-08-09,完工
工业园区桥梁建设工程二期,UC20250157,水务建设集团公司,市发展和改革委员会,2024-03-20,4636.74,2024-08-19,2025-12-16,续建
北城区图书馆建设三期,UC20250158,住房建设集团,市水利局,2024-06-10,19834.33,2024-11-01,2025-11-30,在建
滨海新区图书馆建设三期,UC20250159,基础设施建设公司,市生态环境局,2023-08-13,15176.03,2023-10-26,2025-04-18,在建
新区污水处理厂建设三期,UC20250160,环保建设投资公司,市城市管理局,2024-03-19,19573.5,2024-07-04,2026-04-05,暂停
高新区桥梁建设工程四期,UC20250161,住房建设集团,市卫生健康委员会,2023-12-09,3537.44,2024-03-25,2025-10-21,完工
开发区供水管网工程三期,UC20250162,交通建设发展集团,市卫生健康委员会,2023-12-31,1008.09,2024-03-05,2026-06-26,暂停
东城区文化中心建设三期,UC20250163,园林绿化建设集团,市水利局,2023-06-09,18260.6,2023-07-26,2025-10-05,完工
工业园区道路建设工程一期,UC20250164,文化建设集团,市园林绿化局,2023-10-01,15239.68,2023-11-20,2025-05-30,暂停
科技园区体育中心建设五期,UC20250165,文化建设集团,市卫生健康委员会,2023-12-19,13601.03,2024-05-11,2025-08-19,续建
高新区住宅小区建设二期,UC20250166,文化建设集团,市水利局,2024-05-01,10495.86,2024-10-06,2025-12-30,完工
科技园区隧道建设工程四期,UC20250167,公共设施建设集团,市文化和旅游局,2024-03-19,3628.24,2024-05-31,2027-04-07,在建
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,2024-02-13,4403.09,2024-04-25,2026-02-07,在建
经济技术开发区体育中心建设二期,UC20250169,医疗建设发展公司,市体育局,2023-10-30,8178.7,2023-12-31,2025-03-06,完工
科技园区供水管网工程一期,UC20250170,交通建设发展集团,市生态环境局,2023-12-23,13000.65,2024-02-25,2025-11-27,完工
高新区供水管网工程五期,UC20250171,基础设施建设公司,市规划和自然资源局,2023-05-12,12604.46,2023-07-26,2025-06-11,在建
经济技术开发区停车场建设一期,UC20250172,基础设施建设公司,市住房和城乡建设局,2023-12-09,10388.38,2024-03-21,2027-02-18,暂停
经济技术开发区医院建设工程五期,UC20250173,基础设施建设公司,市卫生健康委员会,2024-03-29,12952.5,2024-07-09,2026-02-28,在建
东城区道路建设工程二期,UC20250174,公共设施建设集团,市文化和旅游局,2023-10-31,5313.94,2023-12-06,2025-08-16,在建
北城区文化中心建设一期,UC20250175,医疗建设发展公司,市教育局,2023-04-08,13900.46,2023-08-04,2026-07-21,暂停
东城区垃圾处理中心建设二期,UC20250176,公共设施建设集团,市生态环境局,2024-04-26,16258.53,2024-10-06,2026-11-04,在建
高新区住宅小区建设四期,UC20250177,住房建设集团,市规划和自然资源局,2023-04-01,6523.64,2023-07-20,2026-05-03,暂停
工业园区供水管网工程四期,UC20250178,水务建设集团公司,市体育局,2023-01-28,8559.13,2023-05-30,2024-04-15,在建
东城区排水管网工程三期,UC20250179,文化建设集团,市交通运输局,2023-07-16,18545.15,2023-11-28,2024-08-26,在建
中心区体育中心建设五期,UC20250180,园林绿化建设集团,市教育局,2023-09-17,7232.0,2024-01-22,2026-01-10,完工
新区商业综合体建设二期,UC20250181,交通建设发展集团,市规划和自然资源局,2024-01-07,5276.28,2024-07-01,2027-03-22,暂停
经济技术开发区医院建设工程一期,UC20250182,文化建设集团,市教育局,2023-05-12,3520.3,2023-07-20,2024-09-10,在建
北城区图书馆建设三期,UC20250183,交通建设发展集团,市城市管理局,2024-02-20,7181.68,2024-06-26,2027-06-02,在建
新区医院建设工程四期,UC20250184,教育建设投资公司,市园林绿化局,2023-04-04,17649.2,2023-09-04,2025-04-24,完工
经济技术开发区停车场建设三期,UC20250185,市政建设集团有限公司,市生态环境局,2024-04-08,9251.02,2024-06-02,2025-05-28,暂停
新区广场建设工程二期,UC20250186,园林绿化建设集团,市卫生健康委员会,2023-07-01,11009.55,2023-10-20,2026-04-05,续建
开发区文化中心建设五期,UC20250187,环保建设投资公司,市教育局,2023-10-19,14932.63,2024-01-08,2024-07-31,完工
生态城区住宅小区建设二期,UC20250188,文化建设集团,市体育局,2023-04-12,18733.19,2023-09-01,2024-03-02,续建
北城区停车场建设五期,UC20250189,医疗建设发展公司,市城市管理局,2023-12-30,6341.98,2024-01-29,2024-10-11,暂停
东城区隧道建设工程二期,UC20250190,教育建设投资公司,市教育局,2023-09-21,15294.75,2024-02-05,2026-02-27,续建
新区供水管网工程四期,UC20250191,住房建设集团,市文化和旅游局,2024-02-06,15400.22,2024-05-29,2027-02-10,续建
西城区停车场建设五期,UC20250192,基础设施建设公司,市体育局,2023-11-21,6013.08,2024-04-16,2025-08-29,暂停
生态城区广场建设工程三期,UC20250193,园林绿化建设集团,市园林绿化局,2023-07-07,5187.63,2023-10-09,2026-10-04,完工
经济技术开发区博物馆建设二期,UC20250194,文化建设集团,市体育局,2023-01-30,10431.5,2023-05-22,2026-03-08,续建
高新区商业综合体建设一期,UC20250195,教育建设投资公司,市发展和改革委员会,2024-05-04,7066.19,2024-09-26,2027-09-22,完工
滨海新区地铁建设工程二期,UC20250196,文化建设集团,市教育局,2023-03-08,8949.93,2023-07-16,2025-09-22,完工
科技园区商业综合体建设五期,UC20250197,园林绿化建设集团,市规划和自然资源局,2024-01-13,6405.51,2024-05-05,2025-06-24,在建
西城区停车场建设五期,UC20250198,市政建设集团有限公司,市水利局,2023-04-19,6036.55,2023-06-09,2024-02-08,完工
新区停车场建设三期,UC20250199,园林绿化建设集团,市园林绿化局,2023-03-30,12077.06,2023-06-04,2024-03-29,在建
开发区商业综合体建设三期,UC20250200,市政建设集团有限公司,市规划和自然资源局,2023-10-12,13011.48,2023-12-16,2026-08-04,完工
