项目编码,项目名称,一般债券,专项债券,债券资金合计,其他资金,资金总计
UC20250082,山区博物馆建设三期,0.00,547.05,547.05,14908.80,15455.85
UC20250083,滨海新区供水管网工程一期,8800.61,6132.59,14933.20,12734.19,27667.39
UC20250084,新区停车场建设五期,5614.05,0.00,5614.05,13788.33,19402.38
UC20250085,西城区隧道建设工程二期,4567.41,0.00,4567.41,23165.44,27732.85
UC20250086,滨海新区污水处理厂建设五期,3242.23,4131.99,7374.22,19503.46,26877.68
UC20250087,北城区污水处理厂建设五期,669.31,0.00,669.31,1377.15,2046.46
UC20250088,东城区学校建设工程四期,0.00,0.00,0.00,19857.16,19857.16
UC20250089,生态城区学校建设工程一期,21388.23,7853.97,29242.20,19423.89,48666.09
UC20250090,山区停车场建设一期,987.39,270.41,1257.80,456.05,1713.85
UC20250091,工业园区道路建设工程四期,1342.21,448.81,1791.02,3539.19,5330.21
UC20250092,北城区博物馆建设一期,3444.32,6766.74,10211.06,4877.62,15088.68
UC20250093,山区停车场建设二期,0.00,1991.32,1991.32,7470.81,9462.13
UC20250094,新区广场建设工程五期,0.00,0.00,0.00,6885.24,6885.24
UC20250095,生态城区桥梁建设工程二期,2261.24,602.77,2864.01,13602.38,16466.39
UC20250096,工业园区文化中心建设一期,9168.71,12295.45,21464.16,23404.32,44868.48
UC20250097,高新区垃圾处理中心建设二期,8953.01,0.00,8953.01,3057.99,12011.00
UC20250098,经济技术开发区道路建设工程二期,0.00,0.00,0.00,25576.26,25576.26
UC20250099,新区文化中心建设三期,3491.05,0.00,3491.05,16182.89,19673.94
UC20250100,经济技术开发区隧道建设工程四期,2193.38,619.94,2813.32,4026.57,6839.89
UC20250101,南城区停车场建设二期,815.81,1786.59,2602.40,7042.68,9645.08
UC20250102,西城区图书馆建设二期,1990.03,0.00,1990.03,3668.24,5658.27
UC20250103,工业园区医院建设工程三期,0.00,0.00,0.00,40798.34,40798.34
UC20250104,山区供水管网工程四期,0.00,2313.55,2313.55,14320.83,16634.38
UC20250105,滨海新区桥梁建设工程三期,0.00,0.00,0.00,8262.22,8262.22
UC20250106,工业园区公园绿化工程五期,0.00,5942.01,5942.01,19796.61,25738.62
UC20250107,开发区公园绿化工程三期,0.00,0.00,0.00,14715.20,14715.20
UC20250108,开发区体育中心建设一期,0.00,368.63,368.63,2442.46,2811.09
UC20250109,东城区住宅小区建设二期,8372.98,6277.64,14650.62,11740.18,26390.80
UC20250110,科技园区垃圾处理中心建设一期,0.00,0.00,0.00,5495.49,5495.49
UC20250111,南城区学校建设工程一期,0.00,0.00,0.00,24155.46,24155.46
UC20250112,新区住宅小区建设二期,0.00,1140.39,1140.39,8078.16,9218.55
UC20250113,新区住宅小区建设三期,0.00,13399.10,13399.10,17416.79,30815.89
UC20250114,科技园区博物馆建设五期,3054.92,10131.90,13186.82,4420.46,17607.28
UC20250115,开发区排水管网工程五期,0.00,7693.62,7693.62,7589.03,15282.65
UC20250116,西城区广场建设工程二期,8632.91,0.00,8632.91,9342.40,17975.31
UC20250117,经济技术开发区排水管网工程五期,1205.73,284.14,1489.87,2205.65,3695.52
UC20250118,开发区学校建设工程四期,0.00,1254.39,1254.39,9989.66,11244.05
UC20250119,科技园区停车场建设三期,0.00,0.00,0.00,3124.83,3124.83
UC20250120,生态城区公交站台建设三期,199.58,0.00,199.58,637.09,836.67
UC20250121,经济技术开发区博物馆建设四期,0.00,0.00,0.00,33849.14,33849.14
UC20250122,新区排水管网工程一期,2203.48,996.41,3199.89,1105.26,4305.15
UC20250123,开发区公交站台建设五期,0.00,0.00,0.00,20040.05,20040.05
UC20250124,高新区住宅小区建设一期,1919.82,2826.04,4745.86,5402.15,10148.01
UC20250125,开发区图书馆建设三期,2947.49,0.00,2947.49,1063.26,4010.75
UC20250126,滨海新区商业综合体建设五期,0.00,0.00,0.00,8427.33,8427.33
UC20250127,生态城区学校建设工程一期,4806.94,0.00,4806.94,1872.65,6679.59
UC20250128,新区商业综合体建设二期,6486.04,0.00,6486.04,47183.63,53669.67
UC20250129,经济技术开发区道路建设工程四期,0.00,953.55,953.55,2665.04,3618.59
UC20250130,生态城区停车场建设五期,5467.08,0.00,5467.08,5675.43,11142.51
UC20250131,东城区供水管网工程五期,62.35,0.00,62.35,2438.96,2501.31
UC20250132,西城区垃圾处理中心建设四期,1345.62,635.54,1981.16,739.50,2720.66
UC20250133,滨海新区文化中心建设五期,3558.14,0.00,3558.14,9638.94,13197.08
UC20250134,生态城区学校建设工程三期,4206.20,0.00,4206.20,24228.45,28434.65
UC20250135,高新区隧道建设工程三期,5859.04,0.00,5859.04,12906.03,18765.07
UC20250136,新区排水管网工程五期,1144.63,0.00,1144.63,2917.34,4061.97
UC20250137,开发区学校建设工程一期,0.00,21413.37,21413.37,8511.70,29925.07
UC20250138,新区桥梁建设工程三期,7463.97,0.00,7463.97,28170.60,35634.57
UC20250139,滨海新区排水管网工程一期,0.00,1004.84,1004.84,1859.75,2864.59
UC20250140,滨海新区商业综合体建设三期,3351.28,14751.45,18102.73,14262.70,32365.43
UC20250141,北城区供水管网工程五期,987.53,1447.12,2434.65,1275.25,3709.90
UC20250142,经济技术开发区医院建设工程五期,0.00,783.49,783.49,4454.24,5237.73
UC20250143,科技园区图书馆建设二期,226.92,189.96,416.88,3418.96,3835.84
UC20250144,南城区排水管网工程四期,1604.98,0.00,1604.98,1317.31,2922.29
UC20250145,北城区供水管网工程四期,4390.75,0.00,4390.75,9265.27,13656.02
UC20250146,高新区住宅小区建设三期,902.78,0.00,902.78,4068.55,4971.33
UC20250147,南城区停车场建设一期,5375.54,0.00,5375.54,24776.81,30152.35
UC20250148,科技园区公园绿化工程一期,1656.69,2584.93,4241.62,3241.93,7483.55
UC20250149,生态城区广场建设工程五期,1719.84,3171.29,4891.13,4385.01,9276.14
UC20250150,科技园区商业综合体建设二期,3499.31,2546.33,6045.64,8815.57,14861.21
UC20250151,北城区排水管网工程五期,0.00,4117.45,4117.45,2803.49,6920.94
UC20250152,山区停车场建设三期,684.95,0.00,684.95,2017.17,2702.12
UC20250153,新区公园绿化工程一期,2552.84,0.00,2552.84,8037.67,10590.51
UC20250154,西城区桥梁建设工程一期,0.00,0.00,0.00,8375.54,8375.54
UC20250155,经济技术开发区商业综合体建设二期,0.00,1688.61,1688.61,8881.31,10569.92
UC20250156,生态城区公交站台建设一期,0.00,5035.63,5035.63,15489.34,20524.97
UC20250157,工业园区桥梁建设工程二期,2132.01,3019.04,5151.05,3254.27,8405.32
UC20250158,北城区图书馆建设三期,0.00,0.00,0.00,11401.52,11401.52
UC20250159,滨海新区图书馆建设三期,2923.90,0.00,2923.90,28407.12,31331.02
UC20250160,新区污水处理厂建设三期,6255.07,0.00,6255.07,15848.71,22103.78
UC20250161,高新区桥梁建设工程四期,0.00,0.00,0.00,5538.16,5538.16
UC20250162,开发区供水管网工程三期,559.10,400.00,959.10,370.38,1329.48
UC20250163,东城区文化中心建设三期,2386.45,0.00,2386.45,18770.49,21156.94
UC20250164,工业园区道路建设工程一期,0.00,15100.69,15100.69,19096.58,34197.27
UC20250165,科技园区体育中心建设五期,0.00,5629.32,5629.32,12467.18,18096.50
UC20250166,高新区住宅小区建设二期,0.00,0.00,0.00,12307.28,12307.28
UC20250167,科技园区隧道建设工程四期,760.11,0.00,760.11,7777.76,8537.87
UC20250168,新区排水管网工程四期,0.00,0.00,0.00,12809.22,12809.22
UC20250169,经济技术开发区体育中心建设二期,0.00,2750.71,2750.71,16595.25,19345.96
UC20250170,科技园区供水管网工程一期,1281.46,0.00,1281.46,19651.36,20932.82
UC20250171,高新区供水管网工程五期,732.58,1118.03,1850.61,11754.88,13605.49
UC20250172,经济技术开发区停车场建设一期,0.00,4594.74,4594.74,24299.78,28894.52
UC20250173,经济技术开发区医院建设工程五期,0.00,0.00,0.00,17434.75,17434.75
UC20250174,东城区道路建设工程二期,2922.33,0.00,2922.33,2185.72,5108.05
UC20250175,北城区文化中心建设一期,6664.66,3366.97,10031.63,32425.47,42457.10
UC20250176,东城区垃圾处理中心建设二期,4273.42,0.00,4273.42,15474.15,19747.57
UC20250177,高新区住宅小区建设四期,0.00,0.00,0.00,7337.20,7337.20
UC20250178,工业园区供水管网工程四期,2741.93,0.00,2741.93,11009.14,13751.07
UC20250179,东城区排水管网工程三期,0.00,12292.41,12292.41,17700.30,29992.71
UC20250180,中心区体育中心建设五期,4970.09,0.00,4970.09,5637.43,10607.52
UC20250181,新区商业综合体建设二期,0.00,0.00,0.00,9246.67,9246.67
UC20250182,经济技术开发区医院建设工程一期,0.00,1646.53,1646.53,2478.34,4124.87
UC20250183,北城区图书馆建设三期,0.00,0.00,0.00,6777.96,6777.96
UC20250184,新区医院建设工程四期,0.00,0.00,0.00,18004.06,18004.06
UC20250185,经济技术开发区停车场建设三期,6579.29,0.00,6579.29,5632.80,12212.09
UC20250186,新区广场建设工程二期,0.00,0.00,0.00,20168.05,20168.05
UC20250187,开发区文化中心建设五期,4386.90,2272.24,6659.14,10204.56,16863.70
UC20250188,生态城区住宅小区建设二期,8002.75,0.00,8002.75,29281.77,37284.52
UC20250189,北城区停车场建设五期,0.00,2432.38,2432.38,4644.55,7076.93
UC20250190,东城区隧道建设工程二期,3841.85,7053.55,10895.40,19251.24,30146.64
UC20250191,新区供水管网工程四期,3942.29,0.00,3942.29,10684.29,14626.58
UC20250192,西城区停车场建设五期,1735.73,4888.68,6624.41,1436.01,8060.42
UC20250193,生态城区广场建设工程三期,0.00,5690.11,5690.11,3542.13,9232.24
UC20250194,经济技术开发区博物馆建设二期,1316.90,0.00,1316.90,19673.09,20989.99
UC20250195,高新区商业综合体建设一期,960.27,0.00,960.27,10882.82,11843.09
UC20250196,滨海新区地铁建设工程二期,9092.53,5368.19,14460.72,1770.57,16231.29
UC20250197,科技园区商业综合体建设五期,4640.80,3192.36,7833.16,0.00,7833.16
UC20250198,西城区停车场建设五期,0.00,0.00,0.00,11515.24,11515.24
UC20250199,新区停车场建设三期,8079.53,0.00,8079.53,14036.17,22115.70
UC20250200,开发区商业综合体建设三期,0.00,0.00,0.00,15842.74,15842.74
