项目名称,项目编码,建设单位,项目主管部门,概算批复金额,资金批复金额,批复日期,资金性质,经办人,经办处室
北城区污水处理厂建设五期,UC20250087,医疗建设发展公司,市发展和改革委员会,2611.61,669.31,2024-08-26,一般债券,孙海涛,招投标管理处
东城区学校建设工程四期,UC20250088,水务建设集团公司,市规划和自然资源局,9824.61,6937.34,2023-04-17,中央预算内投资,吴德华,资金管理处
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,17662.58,13527.58,2024-03-23,一般债券,彭志明,审计监察处
山区停车场建设一期,UC20250090,城市投资建设集团,市城市管理局,2258.13,270.41,2024-08-30,专项债券,林志强,计划财务处
工业园区道路建设工程四期,UC20250091,公共设施建设集团,市园林绿化局,3587.95,1875.26,2024-02-02,土地出让金,孙海涛,规划设计处
北城区博物馆建设一期,UC20250092,环保建设投资公司,市城市管理局,14721.72,3534.23,2023-05-30,中央补助,朱建平,投资建设处
山区停车场建设二期,UC20250093,教育建设投资公司,市城市管理局,9672.8,1991.32,2023-03-04,专项债券,徐文军,投资建设处
新区广场建设工程五期,UC20250094,住房建设集团,市规划和自然资源局,9339.82,1605.15,2024-02-01,中央补助,张建华,招投标管理处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,2132.82,2024-01-06,省级补助,周建军,综合管理处
工业园区文化中心建设一期,UC20250096,园林绿化建设集团,市规划和自然资源局,19627.56,13189.73,2023-09-15,中央补助,钱国强,项目管理处
高新区垃圾处理中心建设二期,UC20250097,公共设施建设集团,市交通运输局,15839.46,8953.01,2023-12-10,一般债券,郭建华,综合管理处
经济技术开发区道路建设工程二期,UC20250098,交通建设发展集团,市园林绿化局,18768.27,14563.76,2023-03-08,中央补助,钱国强,审计监察处
新区文化中心建设三期,UC20250099,教育建设投资公司,市生态环境局,10879.91,4166.02,2023-04-03,中央预算内投资,刘建国,投资建设处
经济技术开发区隧道建设工程四期,UC20250100,教育建设投资公司,市发展和改革委员会,5101.01,4026.57,2023-02-04,中央综合财力,徐文军,招投标管理处
南城区停车场建设二期,UC20250101,教育建设投资公司,市规划和自然资源局,6826.43,2655.58,2024-06-06,中央综合财力,韩志刚,投资建设处
西城区图书馆建设二期,UC20250102,环保建设投资公司,市规划和自然资源局,4169.97,2734.73,2023-07-07,中央综合财力,林志强,计划财务处
工业园区医院建设工程三期,UC20250103,城市投资建设集团,市发展和改革委员会,18777.54,12899.71,2024-08-04,中央预算内投资,曹建军,资金管理处
山区供水管网工程四期,UC20250104,环保建设投资公司,市住房和城乡建设局,13797.14,4581.68,2024-01-02,中央综合财力,周建军,招投标管理处
滨海新区桥梁建设工程三期,UC20250105,城市投资建设集团,市体育局,9406.77,4914.94,2023-08-05,中央预算内投资,陈志刚,计划财务处
工业园区公园绿化工程五期,UC20250106,基础设施建设公司,市发展和改革委员会,14618.25,9854.4,2023-08-26,中央补助,曹建军,质量安全处
开发区公园绿化工程三期,UC20250107,市政建设集团有限公司,市发展和改革委员会,7231.64,2985.72,2023-05-28,省级补助,孙海涛,招投标管理处
开发区体育中心建设一期,UC20250108,园林绿化建设集团,市城市管理局,1473.65,274.52,2024-01-16,专项债券,梁文博,审计监察处
东城区住宅小区建设二期,UC20250109,教育建设投资公司,市生态环境局,19187.36,6277.64,2023-03-30,专项债券,何志远,计划财务处
科技园区垃圾处理中心建设一期,UC20250110,水务建设集团公司,市水利局,7279.23,4134.09,2024-03-30,土地出让金,吴德华,资金管理处
南城区学校建设工程一期,UC20250111,交通建设发展集团,市规划和自然资源局,14688.91,8449.61,2023-07-29,中央补助,何志远,质量安全处
新区住宅小区建设二期,UC20250112,医疗建设发展公司,市文化和旅游局,4157.74,1405.79,2023-05-24,中央综合财力,黄志明,规划设计处
新区住宅小区建设三期,UC20250113,文化建设集团,市规划和自然资源局,18586.78,13399.1,2024-03-05,专项债券,张建华,工程建设处
科技园区博物馆建设五期,UC20250114,基础设施建设公司,市生态环境局,15727.74,10131.9,2024-01-24,专项债券,韩志刚,投资建设处
开发区排水管网工程五期,UC20250115,住房建设集团,市生态环境局,4923.67,3538.08,2023-09-04,专项债券,张建华,工程建设处
西城区广场建设工程二期,UC20250116,教育建设投资公司,市交通运输局,10935.63,3391.4,2023-08-14,省级补助,钱国强,质量安全处
经济技术开发区排水管网工程五期,UC20250117,公共设施建设集团,市城市管理局,1330.59,976.5,2024-06-16,土地出让金,张建华,计划财务处
开发区学校建设工程四期,UC20250118,水务建设集团公司,市体育局,8515.16,1787.17,2023-05-01,中央补助,彭志明,招投标管理处
科技园区停车场建设三期,UC20250119,交通建设发展集团,市生态环境局,6372.98,3124.83,2023-09-05,土地出让金,陈志刚,规划设计处
生态城区公交站台建设三期,UC20250120,城市投资建设集团,市生态环境局,641.27,403.46,2023-08-17,土地出让金,马建设,工程建设处
经济技术开发区博物馆建设四期,UC20250121,交通建设发展集团,市住房和城乡建设局,17087.64,12276.63,2023-03-05,土地出让金,邓文华,项目管理处
新区排水管网工程一期,UC20250122,基础设施建设公司,市城市管理局,1645.86,1159.16,2023-07-16,一般债券,郭建华,综合管理处
开发区公交站台建设五期,UC20250123,医疗建设发展公司,市水利局,12350.63,9257.56,2024-06-13,省级补助,吴德华,资金管理处
高新区住宅小区建设一期,UC20250124,医疗建设发展公司,市体育局,7647.73,1919.82,2023-04-11,一般债券,高建国,项目管理处
开发区图书馆建设三期,UC20250125,教育建设投资公司,市园林绿化局,2870.19,1499.2,2023-10-08,一般债券,孙海涛,投资建设处
滨海新区商业综合体建设五期,UC20250126,住房建设集团,市规划和自然资源局,15856.66,5317.79,2023-10-23,中央综合财力,赵文博,审计监察处
生态城区学校建设工程一期,UC20250127,园林绿化建设集团,市教育局,5903.98,2056.24,2023-06-07,一般债券,朱建平,规划设计处
新区商业综合体建设二期,UC20250128,水务建设集团公司,市规划和自然资源局,18647.72,11434.18,2023-05-10,中央综合财力,马建设,计划财务处
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2750.84,531.65,2023-07-26,中央预算内投资,赵文博,规划设计处
生态城区停车场建设五期,UC20250130,园林绿化建设集团,市教育局,15361.45,1903.05,2023-04-15,土地出让金,黄志明,工程建设处
东城区供水管网工程五期,UC20250131,市政建设集团有限公司,市交通运输局,1223.31,533.37,2023-06-12,土地出让金,徐文军,招投标管理处
西城区垃圾处理中心建设四期,UC20250132,园林绿化建设集团,市卫生健康委员会,1685.52,1098.6,2023-01-28,一般债券,邓文华,招投标管理处
滨海新区文化中心建设五期,UC20250133,公共设施建设集团,市交通运输局,10244.62,3558.14,2023-05-14,一般债券,马建设,招投标管理处
生态城区学校建设工程三期,UC20250134,文化建设集团,市文化和旅游局,17959.8,2276.23,2024-06-12,土地出让金,黄志明,质量安全处
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,7656.32,5134.69,2023-04-19,一般债券,高建国,综合管理处
新区排水管网工程五期,UC20250136,基础设施建设公司,市规划和自然资源局,2318.74,1843.6,2023-09-10,省级补助,钱国强,投资建设处
开发区学校建设工程一期,UC20250137,园林绿化建设集团,市文化和旅游局,14850.1,11234.5,2024-03-12,专项债券,高建国,综合管理处
新区桥梁建设工程三期,UC20250138,教育建设投资公司,市城市管理局,16224.31,9419.63,2023-03-28,中央综合财力,高建国,资金管理处
滨海新区排水管网工程一期,UC20250139,城市投资建设集团,市文化和旅游局,1824.32,480.83,2023-11-19,专项债券,韩志刚,招投标管理处
滨海新区商业综合体建设三期,UC20250140,住房建设集团,市生态环境局,15413.4,9727.71,2023-05-26,中央预算内投资,马建设,质量安全处
北城区供水管网工程五期,UC20250141,公共设施建设集团,市城市管理局,1740.98,987.53,2023-03-16,一般债券,徐文军,规划设计处
经济技术开发区医院建设工程五期,UC20250142,园林绿化建设集团,市住房和城乡建设局,2574.42,1922.19,2023-10-13,中央综合财力,钱国强,招投标管理处
科技园区图书馆建设二期,UC20250143,公共设施建设集团,市文化和旅游局,2076.68,958.78,2023-11-29,土地出让金,杨文华,规划设计处
南城区排水管网工程四期,UC20250144,医疗建设发展公司,市水利局,4515.07,1317.31,2024-04-24,中央综合财力,孙海涛,项目管理处
北城区供水管网工程四期,UC20250145,公共设施建设集团,市生态环境局,9104.05,5675.11,2024-07-29,中央综合财力,赵文博,审计监察处
高新区住宅小区建设三期,UC20250146,城市投资建设集团,市生态环境局,3426.51,1503.32,2024-08-07,省级补助,林志强,招投标管理处
南城区停车场建设一期,UC20250147,基础设施建设公司,市规划和自然资源局,12450.51,2339.63,2023-09-07,中央综合财力,林志强,计划财务处
科技园区公园绿化工程一期,UC20250148,文化建设集团,市生态环境局,4114.42,1756.13,2023-10-31,中央综合财力,何志远,投资建设处
生态城区广场建设工程五期,UC20250149,住房建设集团,市体育局,5797.62,663.61,2023-08-09,中央综合财力,黄志明,工程建设处
科技园区商业综合体建设二期,UC20250150,环保建设投资公司,市水利局,11194.94,3801.35,2023-06-03,省级补助,杨文华,招投标管理处
北城区排水管网工程五期,UC20250151,交通建设发展集团,市体育局,6752.8,4117.45,2023-12-06,专项债券,马建设,质量安全处
山区停车场建设三期,UC20250152,环保建设投资公司,市体育局,6751.53,1054.7,2023-05-18,中央预算内投资,孙海涛,规划设计处
新区公园绿化工程一期,UC20250153,基础设施建设公司,市交通运输局,6219.38,1547.95,2024-04-01,中央预算内投资,韩志刚,规划设计处
西城区桥梁建设工程一期,UC20250154,文化建设集团,市文化和旅游局,9844.53,1152.16,2023-09-14,中央综合财力,周建军,质量安全处
经济技术开发区商业综合体建设二期,UC20250155,环保建设投资公司,市水利局,11052.38,5105.09,2023-09-20,省级补助,张建华,招投标管理处
生态城区公交站台建设一期,UC20250156,城市投资建设集团,市卫生健康委员会,19120.9,3983.67,2024-07-02,土地出让金,曹建军,项目管理处
工业园区桥梁建设工程二期,UC20250157,水务建设集团公司,市发展和改革委员会,4636.74,3019.04,2024-04-17,专项债券,郭建华,质量安全处
北城区图书馆建设三期,UC20250158,住房建设集团,市水利局,19834.33,4690.58,2024-07-22,中央综合财力,王志远,招投标管理处
滨海新区图书馆建设三期,UC20250159,基础设施建设公司,市生态环境局,15176.03,2923.9,2023-09-04,一般债券,邓文华,投资建设处
新区污水处理厂建设三期,UC20250160,环保建设投资公司,市城市管理局,19573.5,7343.17,2024-04-28,中央补助,吴德华,综合管理处
高新区桥梁建设工程四期,UC20250161,住房建设集团,市卫生健康委员会,3537.44,449.71,2024-01-18,中央综合财力,孙海涛,计划财务处
开发区供水管网工程三期,UC20250162,交通建设发展集团,市卫生健康委员会,1008.09,122.33,2024-01-30,省级补助,周建军,质量安全处
东城区文化中心建设三期,UC20250163,园林绿化建设集团,市水利局,18260.6,13823.47,2023-08-05,省级补助,郭建华,投资建设处
工业园区道路建设工程一期,UC20250164,文化建设集团,市园林绿化局,15239.68,5341.09,2023-11-08,中央补助,高建国,审计监察处
科技园区体育中心建设五期,UC20250165,文化建设集团,市卫生健康委员会,13601.03,2965.42,2024-03-07,中央预算内投资,王志远,规划设计处
高新区住宅小区建设二期,UC20250166,文化建设集团,市水利局,10495.86,6587.63,2024-05-13,省级补助,韩志刚,综合管理处
科技园区隧道建设工程四期,UC20250167,公共设施建设集团,市文化和旅游局,3628.24,760.11,2024-05-24,一般债券,曹建军,投资建设处
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,4403.09,1532.36,2024-03-19,中央补助,张建华,项目管理处
经济技术开发区体育中心建设二期,UC20250169,医疗建设发展公司,市体育局,8178.7,4429.12,2024-01-25,中央综合财力,何志远,项目管理处
科技园区供水管网工程一期,UC20250170,交通建设发展集团,市生态环境局,13000.65,5704.58,2024-01-11,中央补助,彭志明,项目管理处
高新区供水管网工程五期,UC20250171,基础设施建设公司,市规划和自然资源局,12604.46,6232.5,2023-07-16,中央预算内投资,杨文华,项目管理处
经济技术开发区停车场建设一期,UC20250172,基础设施建设公司,市住房和城乡建设局,10388.38,6622.7,2024-02-17,中央预算内投资,刘建国,工程建设处
经济技术开发区医院建设工程五期,UC20250173,基础设施建设公司,市卫生健康委员会,12952.5,9688.22,2024-05-03,土地出让金,黄志明,规划设计处
东城区道路建设工程二期,UC20250174,公共设施建设集团,市文化和旅游局,5313.94,654.42,2023-12-31,土地出让金,王志远,规划设计处
北城区文化中心建设一期,UC20250175,医疗建设发展公司,市教育局,13900.46,4785.42,2023-05-23,土地出让金,朱建平,审计监察处
东城区垃圾处理中心建设二期,UC20250176,公共设施建设集团,市生态环境局,16258.53,1829.87,2024-05-14,土地出让金,张建华,招投标管理处
高新区住宅小区建设四期,UC20250177,住房建设集团,市规划和自然资源局,6523.64,4069.17,2023-04-23,中央预算内投资,曹建军,资金管理处
工业园区供水管网工程四期,UC20250178,水务建设集团公司,市体育局,8559.13,3583.25,2023-03-29,省级补助,邓文华,项目管理处
东城区排水管网工程三期,UC20250179,文化建设集团,市交通运输局,18545.15,4278.16,2023-10-01,中央综合财力,朱建平,计划财务处
中心区体育中心建设五期,UC20250180,园林绿化建设集团,市教育局,7232.0,4970.09,2023-12-15,一般债券,林志强,质量安全处
新区商业综合体建设二期,UC20250181,交通建设发展集团,市规划和自然资源局,5276.28,3367.07,2024-03-01,中央综合财力,梁文博,规划设计处
经济技术开发区医院建设工程一期,UC20250182,文化建设集团,市教育局,3520.3,1003.83,2023-07-07,中央综合财力,吴德华,项目管理处
北城区图书馆建设三期,UC20250183,交通建设发展集团,市城市管理局,7181.68,3172.87,2024-03-09,中央预算内投资,何志远,质量安全处
新区医院建设工程四期,UC20250184,教育建设投资公司,市园林绿化局,17649.2,12155.52,2023-04-27,中央综合财力,梁文博,项目管理处
经济技术开发区停车场建设三期,UC20250185,市政建设集团有限公司,市生态环境局,9251.02,1545.07,2024-06-14,省级补助,邓文华,资金管理处
新区广场建设工程二期,UC20250186,园林绿化建设集团,市卫生健康委员会,11009.55,6777.5,2023-09-16,土地出让金,朱建平,综合管理处
开发区文化中心建设五期,UC20250187,环保建设投资公司,市教育局,14932.63,4386.9,2023-11-16,一般债券,张建华,综合管理处
生态城区住宅小区建设二期,UC20250188,文化建设集团,市体育局,18733.19,14008.14,2023-06-16,中央综合财力,王志远,规划设计处
北城区停车场建设五期,UC20250189,医疗建设发展公司,市城市管理局,6341.98,2391.81,2024-01-27,土地出让金,张建华,规划设计处
东城区隧道建设工程二期,UC20250190,教育建设投资公司,市教育局,15294.75,12009.58,2023-11-12,中央补助,刘建国,项目管理处
新区供水管网工程四期,UC20250191,住房建设集团,市文化和旅游局,15400.22,2027.84,2024-03-23,中央综合财力,张建华,审计监察处
西城区停车场建设五期,UC20250192,基础设施建设公司,市体育局,6013.08,1912.54,2023-12-04,专项债券,陈志刚,规划设计处
生态城区广场建设工程三期,UC20250193,园林绿化建设集团,市园林绿化局,5187.63,3839.48,2023-09-02,专项债券,周建军,质量安全处
经济技术开发区博物馆建设二期,UC20250194,文化建设集团,市体育局,10431.5,5286.27,2023-02-17,土地出让金,李明强,计划财务处
高新区商业综合体建设一期,UC20250195,教育建设投资公司,市发展和改革委员会,7066.19,5532.61,2024-07-21,中央补助,朱建平,审计监察处
滨海新区地铁建设工程二期,UC20250196,文化建设集团,市教育局,8949.93,5649.21,2023-05-23,一般债券,马建设,资金管理处
科技园区商业综合体建设五期,UC20250197,园林绿化建设集团,市规划和自然资源局,6405.51,4640.8,2024-04-07,一般债券,刘建国,质量安全处
西城区停车场建设五期,UC20250198,市政建设集团有限公司,市水利局,6036.55,2597.15,2023-06-29,中央预算内投资,赵文博,招投标管理处
新区停车场建设三期,UC20250199,园林绿化建设集团,市园林绿化局,12077.06,8079.53,2023-06-01,一般债券,徐文军,规划设计处
开发区商业综合体建设三期,UC20250200,市政建设集团有限公司,市规划和自然资源局,13011.48,8038.0,2023-12-31,中央补助,孙海涛,质量安全处
